name,mjd,freq,bw,tobs,dt,df,betaeta,betaetaerr
a050627_000954.rf.pcm.dynspec,53548.00740744417,1432.75,231.0,1920.0,60.0,0.5,81.35252519687346,3.03846446103492
a050714_205502.rf.pcm.dynspec,53565.872106489274,1432.75,231.0,1925.0,60.0,0.5,84.20911489260259,3.9774934970923326
a050717_190255.rf.pcm.dynspec,53568.79421293007,1432.75,231.0,1922.01,62.0,0.5,118.06102687332597,4.982339246578682
a050717_193544.rf.pcm.dynspec,53568.81701386678,1432.75,231.0,1923.01,60.0,0.5,109.19401722914608,4.56126754187423
a050718_201351.rf.pcm.dynspec,53569.8438657913,1432.75,231.0,3720.0,120.0,0.5,91.92797326513485,3.551288462563946
a050719_191139.rf.pcm.dynspec,53570.8005787682,1432.75,231.0,1320.0,120.0,0.5,79.37062788462013,4.131578395841856
a050719_194355.rf.pcm.dynspec,53570.8230324889,1432.75,231.0,1560.0,120.0,0.5,87.70940769703513,3.551288462563946
a050721_183615.rf.pcm.dynspec,53572.7760417014,1432.75,231.0,1920.0,120.0,0.5,107.90897980092345,5.705489795865397
a050721_191355.rf.pcm.dynspec,53572.8021991259,1432.75,231.0,1920.0,120.0,0.5,114.22284430906572,4.56126754187423
a050721_195132.rf.pcm.dynspec,53572.828240775896,1432.75,231.0,1920.0,120.0,0.5,104.80921227191347,4.368446777850529
a050721_202903.rf.pcm.dynspec,53572.854398177544,1432.75,231.0,1919.99,120.0,0.5,110.08172776724501,6.220567671898493
a050722_183004.rf.pcm.dynspec,53573.7717592223,1432.75,231.0,1920.01,120.0,0.5,123.26476884433876,5.716886562787799
a050722_190744.rf.pcm.dynspec,53573.797916757496,1432.75,231.0,1920.0,120.0,0.5,124.62643952273743,5.716886562787799
a050722_194524.rf.pcm.dynspec,53573.8240741459,1432.75,231.0,1919.99,120.0,0.5,117.0756140704964,4.982339246578682
a050722_202324.rf.pcm.dynspec,53573.8504629359,1432.75,231.0,1920.01,120.0,0.5,121.54867075600944,5.456885622347279
a050724_175104.rf.pcm.dynspec,53575.74467596695,1432.75,231.0,1919.99,120.0,0.5,87.0837510580915,4.464476572002312
a050724_182844.rf.pcm.dynspec,53575.7708333515,1432.75,231.0,1920.0,120.0,0.5,83.68352081529055,3.1568918983840106
a050724_190625.rf.pcm.dynspec,53575.79699077515,1432.75,231.0,1920.0,120.0,0.5,80.92947799883868,3.03846446103492
a050724_194403.rf.pcm.dynspec,53575.823148160496,1432.75,231.0,1920.0,120.0,0.5,89.55777307124927,3.551288462563946
a050724_210226.rf.pcm.dynspec,53575.877546327996,1432.75,231.0,1920.01,120.0,0.5,88.81862620009143,7.991022300072579
a050724_214005.rf.pcm.dynspec,53575.9037037226,1432.75,231.0,1919.99,120.0,0.5,83.98159556607175,3.1568918983840106
a050724_221747.rf.pcm.dynspec,53575.929861152,1432.75,231.0,1920.01,120.0,0.5,77.94030119183896,2.7168857516354876
a050724_225535.rf.pcm.dynspec,53575.956134364846,1432.75,231.0,1919.99,120.0,0.5,88.76710485698169,3.4128710329393996
